type,role,operation,avg_time_us,calls_per_handshake,total_per_handshake_us,iterations
Type0_SigSig,Initiator,KeyGen,55.586,1,55.586,1000
Type0_SigSig,Initiator,Encap,0.000,0,0.000,0
Type0_SigSig,Initiator,Decap,0.000,0,0.000,0
Type0_SigSig,Initiator,AEAD_Enc,0.790,1,0.790,1000
Type0_SigSig,Initiator,AEAD_Dec,0.000,0,0.000,0
Type0_SigSig,Initiator,Signature,57.619,1,57.619,1000
Type0_SigSig,Initiator,Verification,195.100,1,195.100,1000
Type0_SigSig,Initiator,ECDH,168.469,2,336.939,1000
Type0_SigSig,Initiator,HKDF,3.006,8,24.044,1000
Type0_SigSig,Initiator,Hash,1.007,4,4.029,1000
Type3_MACMAC,Initiator,KeyGen,55.586,1,55.586,1000
Type3_MACMAC,Initiator,Encap,0.000,0,0.000,0
Type3_MACMAC,Initiator,Decap,0.000,0,0.000,0
Type3_MACMAC,Initiator,AEAD_Enc,0.790,1,0.790,1000
Type3_MACMAC,Initiator,AEAD_Dec,0.000,0,0.000,0
Type3_MACMAC,Initiator,Signature,0.000,0,0.000,0
Type3_MACMAC,Initiator,Verification,0.000,0,0.000,0
Type3_MACMAC,Initiator,ECDH,168.469,4,673.877,1000
Type3_MACMAC,Initiator,HKDF,3.006,10,30.055,1000
Type3_MACMAC,Initiator,Hash,1.007,4,4.029,1000
Type0_PQ,Initiator,PQ_KeyGen,72.084,1,72.084,1000
Type0_PQ,Initiator,PQ_Encaps,82.067,1,82.067,1000
Type0_PQ,Initiator,PQ_Decaps,105.245,1,105.245,1000
Type0_PQ,Initiator,PQ_Signature,859.550,1,859.550,1000
Type0_PQ,Initiator,PQ_Verification,228.967,1,228.967,1000
Type0_PQ,Initiator,PQ_AEAD_Enc,0.690,2,1.380,1000
Type0_PQ,Initiator,PQ_AEAD_Dec,0.696,1,0.696,1000
Type0_PQ,Initiator,PQ_HKDF,3.016,8,24.131,1000
Type0_PQ,Initiator,PQ_Hash,1.008,3,3.023,1000
Type3_PQ,Initiator,PQ_KeyGen,72.084,1,72.084,1000
Type3_PQ,Initiator,PQ_Encaps,82.067,1,82.067,1000
Type3_PQ,Initiator,PQ_Decaps,105.245,2,210.491,1000
Type3_PQ,Initiator,PQ_Signature,0.000,0,0.000,0
Type3_PQ,Initiator,PQ_Verification,0.000,0,0.000,0
Type3_PQ,Initiator,PQ_AEAD_Enc,0.690,2,1.380,1000
Type3_PQ,Initiator,PQ_AEAD_Dec,0.696,1,0.696,1000
Type3_PQ,Initiator,PQ_HKDF,3.016,8,24.131,1000
Type3_PQ,Initiator,PQ_Hash,1.008,3,3.023,1000
Type3_Hybrid,Initiator,KeyGen,55.586,1,55.586,1000
Type3_Hybrid,Initiator,AEAD_Enc,0.790,1,0.790,1000
Type3_Hybrid,Initiator,AEAD_Dec,0.796,1,0.796,1000
Type3_Hybrid,Initiator,ECDH,168.469,4,673.877,1000
Type3_Hybrid,Initiator,HKDF,3.006,10,30.055,1000
Type3_Hybrid,Initiator,Hash,1.007,3,3.022,1000
Type3_Hybrid,Initiator,PQ_KeyGen,72.084,1,72.084,1000
Type3_Hybrid,Initiator,PQ_Encaps,0.000,0,0.000,0
Type3_Hybrid,Initiator,PQ_Decaps,105.245,1,105.245,1000
