type,role,operation,avg_time_us,calls_per_handshake,total_per_handshake_us,iterations
Type0_SigSig,Responder,KeyGen,12.007,1,12.007,1000
Type0_SigSig,Responder,Encap,0.000,0,0.000,0
Type0_SigSig,Responder,Decap,0.000,0,0.000,0
Type0_SigSig,Responder,AEAD_Enc,0.000,0,0.000,0
Type0_SigSig,Responder,AEAD_Dec,0.601,1,0.601,1000
Type0_SigSig,Responder,Signature,12.767,1,12.767,1000
Type0_SigSig,Responder,Verification,34.885,1,34.885,1000
Type0_SigSig,Responder,ECDH,29.174,2,58.348,1000
Type0_SigSig,Responder,HKDF,1.607,8,12.858,1000
Type0_SigSig,Responder,Hash,0.662,4,2.647,1000
Type3_MACMAC,Responder,KeyGen,12.007,1,12.007,1000
Type3_MACMAC,Responder,Encap,0.000,0,0.000,0
Type3_MACMAC,Responder,Decap,0.000,0,0.000,0
Type3_MACMAC,Responder,AEAD_Enc,0.000,0,0.000,0
Type3_MACMAC,Responder,AEAD_Dec,0.601,1,0.601,1000
Type3_MACMAC,Responder,Signature,0.000,0,0.000,0
Type3_MACMAC,Responder,Verification,0.000,0,0.000,0
Type3_MACMAC,Responder,ECDH,29.174,4,116.696,1000
Type3_MACMAC,Responder,HKDF,1.607,10,16.073,1000
Type3_MACMAC,Responder,Hash,0.662,4,2.647,1000
Type0_PQ,Responder,PQ_KeyGen,26.799,1,26.799,1000
Type0_PQ,Responder,PQ_Encaps,30.240,1,30.240,1000
Type0_PQ,Responder,PQ_Decaps,39.479,1,39.479,1000
Type0_PQ,Responder,PQ_Signature,354.510,1,354.510,1000
Type0_PQ,Responder,PQ_Verification,85.254,1,85.254,1000
Type0_PQ,Responder,PQ_AEAD_Enc,0.558,1,0.558,1000
Type0_PQ,Responder,PQ_AEAD_Dec,0.559,2,1.117,1000
Type0_PQ,Responder,PQ_HKDF,1.596,8,12.766,1000
Type0_PQ,Responder,PQ_Hash,0.666,3,1.998,1000
Type3_PQ,Responder,PQ_KeyGen,26.799,1,26.799,1000
Type3_PQ,Responder,PQ_Encaps,30.240,2,60.480,1000
Type3_PQ,Responder,PQ_Decaps,39.479,1,39.479,1000
Type3_PQ,Responder,PQ_Signature,0.000,0,0.000,0
Type3_PQ,Responder,PQ_Verification,0.000,0,0.000,0
Type3_PQ,Responder,PQ_AEAD_Enc,0.558,1,0.558,1000
Type3_PQ,Responder,PQ_AEAD_Dec,0.559,2,1.117,1000
Type3_PQ,Responder,PQ_HKDF,1.596,8,12.766,1000
Type3_PQ,Responder,PQ_Hash,0.666,3,1.998,1000
Type3_Hybrid,Responder,KeyGen,12.007,1,12.007,1000
Type3_Hybrid,Responder,AEAD_Enc,0.608,1,0.608,1000
Type3_Hybrid,Responder,AEAD_Dec,0.601,1,0.601,1000
Type3_Hybrid,Responder,ECDH,29.174,4,116.696,1000
Type3_Hybrid,Responder,HKDF,1.607,10,16.073,1000
Type3_Hybrid,Responder,Hash,0.662,3,1.986,1000
Type3_Hybrid,Responder,PQ_KeyGen,0.000,0,0.000,0
Type3_Hybrid,Responder,PQ_Encaps,30.240,1,30.240,1000
Type3_Hybrid,Responder,PQ_Decaps,0.000,0,0.000,0
